ID,E04,Registration Status,Admissions Status,Matriculation Status,Attendance Status,Class Level,Total Credits Enrolled,County,School,Program,Degree,Major,Major_Desc,Program,Concentration,age,Housing,Ethnicity_ALL,BannerTerm,Residency
125670,Male,Continuing,Special,Degree-Seeking,FT,Senior,12,Middlesex,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MKTG,22,,Black or African American,202320,R
125690,Male,Continuing,Special,Degree-Seeking,FT,Senior,20,Camden,ARHU,COMM,BA,COMM,Communication Studies,COMM,PRAD,23,,Caucasian or White,202320,R
125738,Male,Continuing,Special,Degree-Seeking,FT,Senior,20,Mercer,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MKTG,22,,Caucasian or White,202320,R
125957,Male,Continuing,Special,Degree-Seeking,FT,Senior,17,Burlington,HLTH,HLTH-BS,BS,HLSC,Health Science,HLTH-BS,GENE,23,Y,Black or African American,202320,R
126037,Male,Continuing,Special,Degree-Seeking,FT,Senior,12,Morris,ARHU,HIST,BA,HIST,Historical Studies,HIST,GENE,22,Y,Caucasian or White,202320,R
126088,Male,Continuing,Special,Degree-Seeking,FT,Senior,16,Gloucester,SOBL,CRIM,BA,CRIM,Criminal Justice,CRIM,HOME,22,,Caucasian or White,202320,R
126114,Male,Continuing,Special,Degree-Seeking,FT,Senior,20,Monmouth,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,FIN,22,,Caucasian or White,202320,R
126137,Male,Continuing,Special,Degree-Seeking,FT,Senior,16,Atlantic,BUSN,BUSN-BA,BA,BSNS,Business Studies,BUSN-BA,GENE,22,,Caucasian or White,202320,R
126201,Male,Continuing,Special,Degree-Seeking,FT,Senior,18,Atlantic,BUSN,INSY,BS,INSY,Computer Information Systems,INSY,GENE,22,,Asian,202320,R
126289,Male,Continuing,Special,Degree-Seeking,FT,Senior,16,Sussex,SOBL,CRIM,BA,CRIM,Criminal Justice,CRIM,GENE,22,,Caucasian or White,202320,R
126461,Male,Continuing,Special,Degree-Seeking,FT,Senior,16,Camden,BUSN,INSY,BS,INSY,Computer Information Systems,INSY,GENE,23,Y,Hispanic or Latino,202320,R
126578,Male,Continuing,Special,Degree-Seeking,FT,Senior,16,Monmouth,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MKTG,22,,Caucasian or White,202320,R
126586,Male,Continuing,Special,Degree-Seeking,FT,Senior,16,Middlesex,SOBL,CRIM,BA,CRIM,Criminal Justice,CRIM,GENE,22,,Caucasian or White,202320,R
126608,Male,Continuing,Special,Degree-Seeking,FT,Senior,20,Gloucester,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,FIN,23,Y,Caucasian or White,202320,R
126662,Male,Continuing,Special,Degree-Seeking,FT,Senior,18,Morris,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MKTG,23,,Caucasian or White,202320,R
126771,Male,Continuing,Special,Degree-Seeking,FT,Senior,16,Atlantic,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,ACCT,23,,Asian,202320,R
127340,Male,Continuing,Special,Degree-Seeking,FT,Senior,20,Cape May,ARHU,COMM,BA,COMM,Communication Studies,COMM,JRMS,21,Y,Caucasian or White,202320,R
133007,Male,Continuing,Special,Degree-Seeking,FT,Senior,20,Ocean,SOBL,CRIM,BA,CRIM,Criminal Justice,CRIM,GENE,24,,Hispanic or Latino,202320,R
127445,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,20,Mercer,UNDC,UNDC,U,0,Undeclared,UNDC,GENE,21,,Hispanic or Latino,202320,R
130218,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,16,Mercer,BUSN,BUSN-BS,BS,INSY,Computer Information Systems,INSY,GENE,20,Y,Black or African American,202320,R
130273,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,17,Somerset,UNDC,UNDC,U,0,Undeclared,UNDC,GENE,20,Y,Caucasian or White,202320,R
126587,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,12,Monmouth,ARHU,AFST,BA,AFST,Africana Studies,AFST,GENE,23,,Black or African American,202320,R
128036,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,16,Passaic,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MGMT,21,,Asian,202320,R
128266,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,16,Monmouth,ARHU,COMM,BA,COMM,Communication Studies,COMM,PRAD,22,,Caucasian or White,202320,R
128721,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,16,Atlantic,ARHU,HIST,BA,HIST,Historical Studies,HIST,EDUC,20,,Hispanic or Latino,202320,R
128910,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,16,Morris,BUSN,BUSN-BA,BA,BSNS,Business Studies,BUSN-BA,GENE,21,,Caucasian or White,202320,R
128981,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,16,Atlantic,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,FINP,21,,Caucasian or White,202320,R
129444,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,16,Ocean,ARHU,HIST,BA,HIST,Historical Studies,HIST,EDUC,21,,Caucasian or White,202320,R
129450,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,17,Cape May,GENS,LIBA,BA,LIBA,Liberal Studies,LIBA,LASS,21,Y,Caucasian or White,202320,R
129647,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,12,Passaic,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MGMT,21,,Hispanic or Latino,202320,R
129744,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,16,Essex,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MGMT,21,Y,Caucasian or White,202320,R
129885,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,12,Atlantic,BUSN,HTEM,BS,HTEM,Hospitality Tourism Event Mgmt,HTEM,GENE,20,,Hispanic or Latino,202320,R
130054,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,16,Atlantic,BUSN,INSY,BS,INSY,Computer Information Systems,INSY,GENE,21,,Asian,202320,R
130107,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,16,Ocean,ARHU,COMM,BA,COMM,Communication Studies,COMM,JRMS,20,,Caucasian or White,202320,R
130257,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,20,Atlantic,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,FIN,20,,More Than 1 Race,202320,R
130272,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,20,Monmouth,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MKTG,20,,More Than 1 Race,202320,R
130694,Male,Continuing,Special,Degree-Seeking,FT,Sophomore,16,Cape May,ARHU,LITT,BA,LITT,Literature,LITT,CRWT,22,Y,Caucasian or White,202320,R
132041,Male,Continuing,Special,Degree-Seeking,PT,First-Year,10,Cape May,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MGMT,19,,More Than 1 Race,202320,R
128259,Male,Continuing,Special,Degree-Seeking,PT,Junior,9,Atlantic,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,21,,Asian,202320,R
124701,Male,Continuing,Special,Degree-Seeking,PT,Senior,6,Atlantic,BUSN,INSY,BS,INSY,Computer Information Systems,INSY,GENE,23,,Caucasian or White,202320,R
124864,Male,Continuing,Special,Degree-Seeking,PT,Senior,8,Passaic,NAMS,BIOL-BS,BS,BIOL,Biology,BIOL-BS,PROF,23,Y,Asian,202320,R
126183,Male,Continuing,Special,Degree-Seeking,PT,Senior,8,Union,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MKTG,23,,Caucasian or White,202320,R
126412,Male,Continuing,Special,Degree-Seeking,PT,Senior,4,Ocean,ARHU,COMM,BA,COMM,Communication Studies,COMM,MEDP,23,,Caucasian or White,202320,R
128198,Male,Continuing,Special,Degree-Seeking,PT,Sophomore,10,Atlantic,NAMS,ENVL_BS,BS,ENSC,Environmental Science,ENVL_BS,WILD,21,,Hispanic or Latino,202320,R
131230,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Morris,UNDC,UNDC,U,0,Undeclared,UNDC,GENE,20,Y,Caucasian or White,202320,R
131826,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Essex,UNDC,UNDC,U,0,Undeclared,UNDC,GENE,20,Y,More Than 1 Race,202320,R
132224,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,12,Warren,UNDC,UNDC,U,0,Undeclared,UNDC,GENE,20,Y,Black or African American,202320,R
132504,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Atlantic,UNDC,UNDC,U,0,Undeclared,UNDC,GENE,19,,Hispanic or Latino,202320,R
128658,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,19,Atlantic,NAMS,PHYS-BS,BS,PHYS,Applied Physics,PHYS-BS,ENGN,19,,Black or African American,202320,R
129873,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,19,Atlantic,NAMS,BIOL-BS,BS,BIOL,Biology,BIOL-BS,PROF,20,Y,Hispanic or Latino,202320,R
130421,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Atlantic,ARHU,COMM,BA,COMM,Communication Studies,COMM,PRAD,19,,Hispanic or Latino,202320,R
130647,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Camden,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,ACCT,19,Y,Hispanic or Latino,202320,R
130724,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,12,Atlantic,GENS,DIGI,BA,DIGI,Digital Studies,DIGI,GENE,19,,Hispanic or Latino,202320,R
130742,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,17,Atlantic,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,19,,Asian,202320,R
130895,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Camden,HLTH,NURSING-PREL,BSN,NRS4,"Nursing, Pre-Licensure",NURSING-PREL,GENE,19,Y,Asian,202320,R
130969,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,19,Atlantic,NAMS,PHYS-BS,BS,PHYS,Applied Physics,PHYS-BS,ENGN,19,Y,Black or African American,202320,R
131022,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Hudson,HLTH,HLTH-BS,BS,HLSC,Health Science,HLTH-BS,PRPT,19,Y,Black or African American,202320,R
131181,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Cumberland,SOBL,CRIM,BA,CRIM,Criminal Justice,CRIM,HOME,19,,Hispanic or Latino,202320,R
131272,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,12,Hudson,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MKTG,20,Y,Black or African American,202320,R
131282,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,12,Monmouth,GENS,DIGI,BA,DIGI,Digital Studies,DIGI,GENE,19,Y,Caucasian or White,202320,R
131344,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Passaic,SOBL,PSYC-BA,BA,PSYC,Psychology,PSYC-BA,GENE,20,Y,Hispanic or Latino,202320,R
131390,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,17,Atlantic,ARHU,ARTP,BA,ARTP,Performing Arts,ARTP,PMED,19,Y,Black or African American,202320,R
131422,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Burlington,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,COND,20,Y,Caucasian or White,202320,R
131431,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Ocean,BUSN,INSY,BS,INSY,Computer Information Systems,INSY,GENE,19,Y,Caucasian or White,202320,R
131442,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Mercer,SOBL,POLS,BA,POLS,Political Science,POLS,INAF,20,Y,Black or African American,202320,R
131526,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Camden,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MKTG,19,Y,Hispanic or Latino,202320,R
131538,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,12,Essex,SOBL,CRIM,BA,CRIM,Criminal Justice,CRIM,FORE,20,Y,Hispanic or Latino,202320,R
131581,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Essex,HLTH,EXSC-BS,BS,EXSC,Exercise Science,EXSC-BS,COND,20,Y,Black or African American,202320,R
131587,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Hudson,SOBL,CRIM,BA,CRIM,Criminal Justice,CRIM,FORE,19,Y,Hispanic or Latino,202320,R
131619,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Cumberland,NAMS,BIOL-BS,BS,BIOL,Biology,BIOL-BS,COND,20,,Caucasian or White,202320,R
131624,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Hudson,HLTH,EXSC-BS,BS,EXSC,Exercise Science,EXSC-BS,COND,20,Y,Hispanic or Latino,202320,R
131642,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Salem,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MKTG,19,Y,Caucasian or White,202320,R
131656,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Mercer,SOBL,PSYC-BA,BA,PSYC,Psychology,PSYC-BA,FPSY,19,Y,Hispanic or Latino,202320,R
131683,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Union,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,BUSA,19,Y,Hispanic or Latino,202320,R
131748,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,17,Atlantic,NAMS,PHYS-BS,BS,PHYS,Applied Physics,PHYS-BS,GENE,19,Y,Hispanic or Latino,202320,R
131827,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Burlington,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MGMT,19,Y,Caucasian or White,202320,R
131938,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,14,Atlantic,ARHU,ARTV-BFA,BFA,ARTV,Visual Arts,ARTV-BFA,VPHO,20,,Hispanic or Latino,202320,R
131949,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,14,Camden,ARHU,ARTV-BA,BA,ARTV,Visual Arts,ARTV-BA,VIBA,20,Y,Black or African American,202320,R
131961,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Union,HLTH,EXSC-BS,BS,EXSC,Exercise Science,EXSC-BS,COND,20,Y,Black or African American,202320,R
131995,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,19,Bergen,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,20,Y,Caucasian or White,202320,R
132022,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Bergen,ARHU,ARTP,BA,ARTP,Performing Arts,ARTP,PMIN,20,Y,Caucasian or White,202320,R
132061,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Atlantic,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,20,,Asian,202320,R
132070,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,12,Camden,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MACC,20,Y,Caucasian or White,202320,R
132091,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,12,Cape May,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,ACCT,21,Y,Hispanic or Latino,202320,R
132107,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Burlington,HLTH,HLTH-BS,BS,HLSC,Health Science,HLTH-BS,COND,19,Y,Black or African American,202320,R
132128,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Burlington,SOBL,ECON,BA,ECON,Economics,ECON,GENE,20,Y,More Than 1 Race,202320,R
132410,Male,Continuing,EOF,Degree-Seeking,FT,First-Year,16,Ocean,SOBL,PSYC-BA,BA,PSYC,Psychology,PSYC-BA,MHLT,20,Y,Caucasian or White,202320,R
124658,Male,Continuing,EOF,Degree-Seeking,FT,Junior,17,Atlantic,SOBL,PSYC-BA,BA,PSYC,Psychology,PSYC-BA,MHLT,22,,Asian,202320,R
124742,Male,Continuing,EOF,Degree-Seeking,FT,Junior,16,Gloucester,GENS,LIBA,BA,LIBA,Liberal Studies,LIBA,GENE,23,Y,Black or African American,202320,R
125206,Male,Continuing,EOF,Degree-Seeking,FT,Junior,21,Atlantic,HLTH,HLTH-BS,BS,HLSC,Health Science,HLTH-BS,GENE,23,Y,Black or African American,202320,R
125369,Male,Continuing,EOF,Degree-Seeking,FT,Junior,21,Atlantic,NAMS,BIOL-BS,BS,BIOL,Biology,BIOL-BS,PROF,21,,Hispanic or Latino,202320,R
125471,Male,Continuing,EOF,Degree-Seeking,FT,Junior,12,Atlantic,SOBL,SOCY,BA,SOCY,Sociology & Anthropology,SOCY,SOCI,21,Y,Hispanic or Latino,202320,R
125993,Male,Continuing,EOF,Degree-Seeking,FT,Junior,13,Atlantic,NAMS,MATH-BS,BS,MATH,Mathematics,MATH-BS,GENE,22,Y,Asian,202320,R
126058,Male,Continuing,EOF,Degree-Seeking,FT,Junior,17,Atlantic,BUSN,CMPT,BA,CMPT,Computing,CMPT,GENE,23,,Hispanic or Latino,202320,R
126592,Male,Continuing,EOF,Degree-Seeking,FT,Junior,16,Cumberland,ARHU,COMM,BA,COMM,Communication Studies,COMM,MEDP,23,Y,Black or African American,202320,R
126598,Male,Continuing,EOF,Degree-Seeking,FT,Junior,12,Atlantic,SOBL,PSYC-BA,BA,PSYC,Psychology,PSYC-BA,GENE,23,,Caucasian or White,202320,R
126680,Male,Continuing,EOF,Degree-Seeking,FT,Junior,20,Atlantic,ARHU,ARTV-BFA,BFA,ARTV,Visual Arts,ARTV-BFA,VCOM,23,Y,Black or African American,202320,R
126704,Male,Continuing,EOF,Degree-Seeking,FT,Junior,16,Cumberland,ARHU,COMM,BA,COMM,Communication Studies,COMM,MEDP,23,Y,Black or African American,202320,R
127115,Male,Continuing,EOF,Degree-Seeking,FT,Junior,16,Atlantic,SOBL,CRIM,BA,CRIM,Criminal Justice,CRIM,FORE,21,Y,Hispanic or Latino,202320,R
127296,Male,Continuing,EOF,Degree-Seeking,FT,Junior,20,Hudson,HLTH,HLTH-BS,BS,HLSC,Health Science,HLTH-BS,GENE,21,Y,Hispanic or Latino,202320,R
127414,Male,Continuing,EOF,Degree-Seeking,FT,Junior,16,Camden,ARHU,HIST,BA,HIST,Historical Studies,HIST,GENE,21,Y,Hispanic or Latino,202320,R
127593,Male,Continuing,EOF,Degree-Seeking,FT,Junior,18,Gloucester,NAMS,BIOL-BS,BS,BIOL,Biology,BIOL-BS,GENE,21,,Caucasian or White,202320,R
127718,Male,Continuing,EOF,Degree-Seeking,FT,Junior,12,Camden,SOBL,PSYC-BA,BA,PSYC,Psychology,PSYC-BA,GENE,21,,More Than 1 Race,202320,R
127788,Male,Continuing,EOF,Degree-Seeking,FT,Junior,13,Atlantic,BUSN,BUSN-BA,BA,BSNS,Business Studies,BUSN-BA,GENE,21,,Asian,202320,R
127804,Male,Continuing,EOF,Degree-Seeking,FT,Junior,16,Cumberland,ARHU,COMM,BA,COMM,Communication Studies,COMM,MEDP,21,,Hispanic or Latino,202320,R
127815,Male,Continuing,EOF,Degree-Seeking,FT,Junior,16,Passaic,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MGMT,21,Y,Hispanic or Latino,202320,R
127961,Male,Continuing,EOF,Degree-Seeking,FT,Junior,20,Union,NAMS,BIOL-BS,BS,BIOL,Biology,BIOL-BS,PROF,21,Y,Hispanic or Latino,202320,R
127986,Male,Continuing,EOF,Degree-Seeking,FT,Junior,20,Camden,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MKTG,21,Y,Asian,202320,R
128011,Male,Continuing,EOF,Degree-Seeking,FT,Junior,20,Atlantic,BUSN,INSY,BS,INSY,Computer Information Systems,INSY,GENE,22,,Asian,202320,R
128248,Male,Continuing,EOF,Degree-Seeking,FT,Junior,16,Atlantic,ARHU,HIST,BA,HIST,Historical Studies,HIST,EDUC,22,,Hispanic or Latino,202320,R
128413,Male,Continuing,EOF,Degree-Seeking,FT,Junior,12,Salem,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MGMT,21,Y,Black or African American,202320,R
131003,Male,Continuing,EOF,Degree-Seeking,FT,Junior,20,Atlantic,HLTH,HLTH-BS,BS,HLSC,Health Science,HLTH-BS,PROT,20,Y,Hispanic or Latino,202320,R
123973,Male,Continuing,EOF,Degree-Seeking,FT,Senior,12,Camden,NAMS,MATH-BS,BS,MATH,Mathematics,MATH-BS,GENE,27,,Black or African American,202320,R
124306,Male,Continuing,EOF,Degree-Seeking,FT,Senior,16,Camden,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,FIN,25,,Caucasian or White,202320,R
124735,Male,Continuing,EOF,Degree-Seeking,FT,Senior,12,Atlantic,HLTH,NURSING-PREL,BSN,NRS4,"Nursing, Pre-Licensure",NURSING-PREL,GENE,24,,Asian,202320,R
124855,Male,Continuing,EOF,Degree-Seeking,FT,Senior,12,Camden,HLTH,HLTH-BS,BS,HLSC,Health Science,HLTH-BS,GENE,24,Y,Hispanic or Latino,202320,R
124894,Male,Continuing,EOF,Degree-Seeking,FT,Senior,20,Middlesex,HLTH,HLTH-BS,BS,HLSC,Health Science,HLTH-BS,GENE,24,,Black or African American,202320,R
124978,Male,Continuing,EOF,Degree-Seeking,FT,Senior,12,Atlantic,BUSN,INSY,BS,INSY,Computer Information Systems,INSY,GENE,24,,Asian,202320,R
125022,Male,Continuing,EOF,Degree-Seeking,FT,Senior,16,Atlantic,ARHU,COMM,BA,COMM,Communication Studies,COMM,MEDP,24,Y,Black or African American,202320,R
125076,Male,Continuing,EOF,Degree-Seeking,FT,Senior,20,Atlantic,SOBL,PSYC-BA,BA,PSYC,Psychology,PSYC-BA,MHLT,24,,Black or African American,202320,R
125109,Male,Continuing,EOF,Degree-Seeking,FT,Senior,12,Atlantic,NAMS,BIOL-BS,BS,BIOL,Biology,BIOL-BS,PROF,24,,Hispanic or Latino,202320,R
125132,Male,Continuing,EOF,Degree-Seeking,FT,Senior,12,Atlantic,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,FIN,23,,Hispanic or Latino,202320,R
125173,Male,Continuing,EOF,Degree-Seeking,FT,Senior,12,Cape May,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MGMT,23,Y,Black or African American,202320,R
125343,Male,Continuing,EOF,Degree-Seeking,FT,Senior,14,Atlantic,BUSN,INSY,BS,INSY,Computer Information Systems,INSY,GENE,23,,Hispanic or Latino,202320,R
125469,Male,Continuing,EOF,Degree-Seeking,FT,Senior,12,Atlantic,SOBL,CRIM,BA,CRIM,Criminal Justice,CRIM,GENE,22,Y,Caucasian or White,202320,R
125563,Male,Continuing,EOF,Degree-Seeking,FT,Senior,16,Burlington,SOBL,CRIM,BA,CRIM,Criminal Justice,CRIM,FPSY,22,Y,Caucasian or White,202320,R
125712,Male,Continuing,EOF,Degree-Seeking,FT,Senior,12,Union,HLTH,PUBLIC-HLTH,BS,PUBH,Public Health,PUBLIC-HLTH,HADM,22,Y,Black or African American,202320,R
125782,Male,Continuing,EOF,Degree-Seeking,FT,Senior,12,Essex,ARHU,ARTV-BFA,BFA,ARTV,Visual Arts,ARTV-BFA,VCOM,22,Y,Black or African American,202320,R
125831,Male,Continuing,EOF,Degree-Seeking,FT,Senior,20,Hudson,SOBL,CRIM,BA,CRIM,Criminal Justice,CRIM,FPSY,22,Y,Black or African American,202320,R
125866,Male,Continuing,EOF,Degree-Seeking,FT,Senior,20,Union,SOBL,PSYC-BS,BS,PSYC,Psychology,PSYC-BS,MHLT,23,Y,Black or African American,202320,R
126006,Male,Continuing,EOF,Degree-Seeking,FT,Senior,20,Essex,SOBL,PSYC-BA,BA,PSYC,Psychology,PSYC-BA,FPSY,23,Y,Black or African American,202320,R
126138,Male,Continuing,EOF,Degree-Seeking,FT,Senior,16,Monmouth,SOBL,CRIM,BA,CRIM,Criminal Justice,CRIM,GENE,22,Y,More Than 1 Race,202320,R
126143,Male,Continuing,EOF,Degree-Seeking,FT,Senior,16,Middlesex,NAMS,BIOL-BS,BS,BIOL,Biology,BIOL-BS,GENE,22,,Hispanic or Latino,202320,R
126149,Male,Continuing,EOF,Degree-Seeking,FT,Senior,20,Atlantic,NAMS,BIOL-BS,BS,BIOL,Biology,BIOL-BS,GENE,23,Y,Hispanic or Latino,202320,R
126246,Male,Continuing,EOF,Degree-Seeking,FT,Senior,12,Burlington,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MGMT,23,Y,Hispanic or Latino,202320,R
126295,Male,Continuing,EOF,Degree-Seeking,FT,Senior,20,Essex,ARHU,COMM,BA,COMM,Communication Studies,COMM,JRMS,24,Y,Black or African American,202320,R
126298,Male,Continuing,EOF,Degree-Seeking,FT,Senior,16,Bergen,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,BUSA,22,Y,Black or African American,202320,R
126393,Male,Continuing,EOF,Degree-Seeking,FT,Senior,16,Burlington,HLTH,EXSC-BS,BS,EXSC,Exercise Science,EXSC-BS,GENE,22,,Caucasian or White,202320,R
126486,Male,Continuing,EOF,Degree-Seeking,FT,Senior,16,Essex,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MGMT,23,,Black or African American,202320,R
126499,Male,Continuing,EOF,Degree-Seeking,FT,Senior,16,Burlington,SOBL,CRIM,BA,CRIM,Criminal Justice,CRIM,GENE,22,Y,Hispanic or Latino,202320,R
126541,Male,Continuing,EOF,Degree-Seeking,FT,Senior,12,Atlantic,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,FIN,22,,Asian,202320,R
126770,Male,Continuing,EOF,Degree-Seeking,FT,Senior,16,Atlantic,ARHU,HIST,BA,HIST,Historical Studies,HIST,GENE,22,,Hispanic or Latino,202320,R
127036,Male,Continuing,EOF,Degree-Seeking,FT,Senior,16,Atlantic,HLTH,HLTH-BS,BS,HLSC,Health Science,HLTH-BS,GENE,22,,Asian,202320,R
127334,Male,Continuing,EOF,Degree-Seeking,FT,Senior,12,Atlantic,HLTH,HLTH-BS,BS,HLSC,Health Science,HLTH-BS,PRPT,21,,Hispanic or Latino,202320,R
127993,Male,Continuing,EOF,Degree-Seeking,FT,Senior,16,Atlantic,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,FIN,21,,Hispanic or Latino,202320,R
129899,Male,Continuing,EOF,Degree-Seeking,FT,Sophomore,13,Camden,UNDC,UNDC,U,0,Undeclared,UNDC,GENE,22,,Black or African American,202320,R
125540,Male,Continuing,EOF,Degree-Seeking,FT,Sophomore,17,Atlantic,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,20,,Hispanic or Latino,202320,R
126427,Male,Continuing,EOF,Degree-Seeking,FT,Sophomore,16,Atlantic,BUSN,HTMS,BS,HTMS,Hospitality & Tourism Mgmt,HTMS,GENE,22,,Hispanic or Latino,202320,R
127128,Male,Continuing,EOF,Degree-Seeking,FT,Sophomore,14,Atlantic,NAMS,BCMB,BS,BCMB,Biochemistry Molecular Biology,BCMB,GENE,20,,Asian,202320,R
127646,Male,Continuing,EOF,Degree-Seeking,FT,Sophomore,16,Essex,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MKTG,22,Y,Black or African American,202320,R
127867,Male,Continuing,EOF,Degree-Seeking,FT,Sophomore,16,Atlantic,HLTH,HLTH-BS,BS,HLSC,Health Science,HLTH-BS,GENE,23,,Asian,202320,R
