ID,E04,Registration Status,Admissions Status,Matriculation Status,Attendance Status,Class Level,Total Credits Enrolled,County,School,Program,Degree,Major,Major_Desc,Program,Concentration,age,Housing,Ethnicity_ALL,BannerTerm,Residency
124912,Male,First-Time,Regular,Degree-Seeking,PT,Graduate,3,Atlantic,EDUC,ESLA,CER,ESLA,English as a Second Language,ESLA,ESLA,24,,Caucasian or White,202320,R
126546,Male,First-Time,Regular,Degree-Seeking,PT,Graduate,3,Mercer,GENS,MAHG,MA,MAHG,Holocaust and Genocide Studies,MAHG,GENE,22,,Non Resident Alien,202320,R
130344,Male,First-Time,Regular,Degree-Seeking,PT,Graduate,6,Atlantic,BUSN,MHAL,MBA,MHAL,Healthcare Admin & Leadership,MHAL,MHAL,24,,Black or African American,202320,R
132813,Male,First-Time,Regular,Degree-Seeking,PT,Graduate,6,Camden,EDUC,MAIT,MA,MAIT,Instructional Technology,MAIT,GENE,31,,Caucasian or White,202320,R
132848,Male,First-Time,Regular,Degree-Seeking,PT,Graduate,6,Atlantic,EDUC,SPED2,CER,SPED,Special Education,SPED2,SPED,37,,Caucasian or White,202320,R
132868,Male,First-Time,Regular,Degree-Seeking,PT,Graduate,6,Atlantic,EDUC,MAIT,MA,MAIT,Instructional Technology,MAIT,GENE,30,,Hispanic or Latino,202320,R
132972,Male,First-Time,Regular,Degree-Seeking,PT,Graduate,6,Ocean,EDUC,MAIT,MA,MAIT,Instructional Technology,MAIT,GENE,23,,Caucasian or White,202320,R
132979,Male,First-Time,Regular,Degree-Seeking,PT,Graduate,3,Cumberland,NAMS,CZMT-MS,MS,CZMT,Coastal Zone Management,CZMT-MS,CZMT,28,,More Than 1 Race,202320,R
133282,Male,First-Time,Regular,Degree-Seeking,PT,Graduate,7,Ocean,EDUC,LDTC,CER,LDTC,Learning Disabilities,LDTC,0,45,,Caucasian or White,202320,R
133296,Male,First-Time,Other,Non Degree-Seeking,FT,NMAT,12,Unknown,UNDC,NMAT-U,000000,NMAT,Non-Matriculated Student,NMAT-U,0,24,Y,Non Resident Alien,202320,N
133312,Male,First-Time,Other,Non Degree-Seeking,FT,NMAT,20,Unknown,UNDC,NMAT-U,000000,NMAT,Non-Matriculated Student,NMAT-U,0,22,Y,Non Resident Alien,202320,N
133313,Male,First-Time,Other,Non Degree-Seeking,FT,NMAT,16,Unknown,UNDC,NMAT-U,000000,NMAT,Non-Matriculated Student,NMAT-U,0,23,Y,Non Resident Alien,202320,N
133315,Male,First-Time,Other,Non Degree-Seeking,FT,NMAT,16,Unknown,UNDC,NMAT-U,000000,NMAT,Non-Matriculated Student,NMAT-U,0,24,Y,Non Resident Alien,202320,N
133006,Male,First-Time,Other,Non Degree-Seeking,PT,NMAT,4,Unknown,UNDC,NMAT-U,000000,NMAT,Non-Matriculated Student,NMAT-U,0,73,,More Than 1 Race,202320,R
133092,Male,First-Time,Other,Non Degree-Seeking,PT,NMAT,4,Atlantic,UNDC,NMAT-U,000000,NMAT,Non-Matriculated Student,NMAT-U,0,21,,Caucasian or White,202320,R
133171,Male,First-Time,Other,Non Degree-Seeking,PT,NMAT,5,Ocean,UNDC,NMAT-U,000000,NMAT,Non-Matriculated Student,NMAT-U,0,27,,Caucasian or White,202320,R
133172,Male,First-Time,Other,Non Degree-Seeking,PT,NMAT,5,Ocean,UNDC,NMAT-U,000000,NMAT,Non-Matriculated Student,NMAT-U,0,27,,Caucasian or White,202320,R
133359,Male,First-Time,Other,Non Degree-Seeking,PT,NMAT,4,Camden,UNDC,NMAT-U,000000,NMAT,Non-Matriculated Student,NMAT-U,0,23,,Caucasian or White,202320,R
133264,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Atlantic,UNDC,UNDC,U,0,Undeclared,UNDC,GENE,27,,More Than 1 Race,202320,R
133358,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,12,Atlantic,GENS,LIBA,BA,PSYC,Psychology,PSYC-BA,GENE,38,,Black or African American,202320,R
133030,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Atlantic,ARHU,COMM,BA,COMM,Communication Studies,COMM,MEDP,19,,Hispanic or Latino,202320,R
133082,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Mercer,SOBL,PSYC-BA,BA,PSYC,Psychology,PSYC-BA,GENE,21,Y,Black or African American,202320,R
133087,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,17,Essex,NAMS,GEOL-BA,BA,GEOL,Geology,GEOL-BA,GENE,22,Y,Black or African American,202320,R
133095,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Atlantic,BUSN,BUSN-BA,BA,BSNS,Business Studies,BUSN-BA,GENE,20,,Hispanic or Latino,202320,R
133099,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,12,Atlantic,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MFIN,20,,Asian,202320,R
133109,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Ocean,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,FIN,20,,Caucasian or White,202320,R
133111,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,15,Ocean,ARHU,ARTV-BFA,BFA,ARTV,Visual Arts,ARTV-BFA,VILL,19,,Caucasian or White,202320,R
133129,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Atlantic,SOBL,PSYC-BA,BA,PSYC,Psychology,PSYC-BA,MHLT,19,,Hispanic or Latino,202320,R
133130,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Cumberland,ARHU,HIST,BA,HIST,Historical Studies,HIST,EDUC,19,,Caucasian or White,202320,R
133138,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Ocean,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,ACCT,20,,Caucasian or White,202320,R
133142,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Atlantic,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,20,,More Than 1 Race,202320,R
133150,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Atlantic,SOBL,PSYC-BS,BS,PSYC,Psychology,PSYC-BS,GENE,20,,Caucasian or White,202320,R
133165,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,15,Atlantic,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,20,,Hispanic or Latino,202320,R
133203,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,12,Ocean,BUSN,HTEM,BS,HTEM,Hospitality Tourism Event Mgmt,HTEM,GENE,23,,Caucasian or White,202320,R
133206,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Union,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MKTG,20,Y,Hispanic or Latino,202320,R
133207,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Cumberland,SOBL,SOWK,BS,SOWK,Social Work,SOWK,GENE,21,,Hispanic or Latino,202320,R
133216,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,17,Burlington,HLTH,EXSC-BS,BS,EXSC,Exercise Science,EXSC-BS,GENE,24,,Hispanic or Latino,202320,R
133221,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,17,Gloucester,HLTH,EXSC-BS,BS,EXSC,Exercise Science,EXSC-BS,GENE,19,Y,Caucasian or White,202320,R
133222,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,12,Ocean,BUSN,BUSN-BA,BA,BSNS,Business Studies,BUSN-BA,MBSN,19,,Caucasian or White,202320,R
133249,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Atlantic,SOBL,POLS,BA,POLS,Political Science,POLS,PREL,20,,Caucasian or White,202320,R
133252,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Ocean,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,BUSA,19,,Caucasian or White,202320,R
133253,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Atlantic,SOBL,CRIM,BA,CRIM,Criminal Justice,CRIM,GENE,22,,Hispanic or Latino,202320,R
133271,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Middlesex,BUSN,BUSN-BA,BA,BSNS,Business Studies,BUSN-BA,GENE,20,Y,Hispanic or Latino,202320,R
133273,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,12,Ocean,SOBL,SOWK,BS,SOWK,Social Work,SOWK,GENE,41,,Black or African American,202320,R
133279,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,12,Atlantic,ARHU,COMM,BA,COMM,Communication Studies,COMM,JRMS,28,,Asian,202320,R
133303,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Morris,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MGMT,22,Y,Caucasian or White,202320,R
133316,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,20,Not NJ Resident,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,BUSA,21,Y,Black or African American,202320,R
133319,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Atlantic,SOBL,POLS,BA,POLS,Political Science,POLS,GENE,20,,Caucasian or White,202320,R
133322,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,12,Ocean,NAMS,BIOL-BS,BS,BIOL,Biology,BIOL-BS,GENE,24,Y,Hispanic or Latino,202320,R
